Outcome,Excluded country,N (-country),Converged,Public-sector beta,OR,Warning,Error
automated_analysis_access,GR,9428,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,HR,9228,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,HU,9229,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,IE,9373,False,-0.13557709781525157,0.8732118376082636,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,IT,9361,False,-0.1279268744751126,0.8799177212373137,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,LT,9437,True,-0.12648198598774757,0.8811900231684153,,
automated_analysis_access,LU,9492,False,-0.13702648531216535,0.8719471320343,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,LV,9394,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,MT,9566,False,-0.14711718741732863,0.8631928161522401,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,NL,9436,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,PL,9319,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,PT,9431,True,-0.14559313471619997,0.8645093704895547,,
automated_analysis_access,RO,9228,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,SE,9367,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,SI,9398,False,-0.17689993379035374,0.8378636221651369,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,SK,9300,False,-0.14924804944000306,0.8613554296658306,Maximum Likelihood optimization failed to converge. Check mle_retvals,
not_informed,AT,9258,True,0.14932856298971425,1.1610544060527987,,
not_informed,BE,9384,True,0.15102301974663243,1.163023430278367,,
not_informed,BG,9359,True,0.15096837690335574,1.1629598811076087,,
not_informed,CY,9508,True,0.14656307012506214,1.1578479541309075,,
not_informed,CZ,9278,True,0.17209750227560183,1.1877936401509543,,
not_informed,DE,9064,True,0.12986111240405576,1.1386702251716259,,
not_informed,DK,9370,True,0.16751531396446628,1.1823633967173237,,
not_informed,EE,9358,True,0.1414004661557293,1.151885846928255,,
not_informed,ES,9344,True,0.14869230694501795,1.160315913128933,,
not_informed,FI,9396,True,0.1618010301466248,1.1756263038552177,,
not_informed,FR,9388,True,0.14733118101438852,1.1587376514019978,,
not_informed,GR,9428,True,0.15861488752764216,1.1718865516401415,,
not_informed,HR,9228,True,0.12499261386183823,1.1331400835067036,,
not_informed,HU,9229,True,0.15677935258444148,1.1697374858711802,,
not_informed,IE,9373,True,0.16021908921137099,1.1737680027294375,,
not_informed,IT,9361,True,0.14710147200308774,1.1584715094905051,,
not_informed,LT,9437,True,0.15825753350660912,1.1714678480858736,,
not_informed,LU,9492,True,0.13896991966579408,1.1490895344865066,,
not_informed,LV,9394,True,0.15785006135897794,1.1709906048042087,,
not_informed,MT,9566,True,0.12986025977922216,1.1386692543135284,,
not_informed,NL,9436,True,0.14671055681751213,1.1580187338895835,,
not_informed,PL,9319,True,0.16448586248988809,1.1787869043220254,,
not_informed,PT,9431,True,0.14851442642736673,1.1601095338896337,,
not_informed,RO,9228,True,0.16284350413861343,1.1768525027304548,,
not_informed,SE,9367,True,0.14910019277315958,1.1607892860805615,,
not_informed,SI,9398,True,0.17390090624219784,1.1899376445850778,,
not_informed,SK,9300,True,0.15148466545970501,1.1635604590081259,,
