Outcome,Specification,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
detailed_explanation,Baseline (common N),C(country_fe)[T.HR],-0.9423501566914462,0.0016951251633073963,0.3897108766577496,0.38841825585207607,0.3910077991884891,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.HU],-0.4423967495781201,0.006864752234881456,0.6424946753898211,0.6339080182332617,0.6511976438707422,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.IE],-0.6302359727336584,0.0034994127029873276,0.5324661386907128,0.5288265965834503,0.53613072921051,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.IT],-0.7084527835381931,0.0009766501617344337,0.4924054662285477,0.4914638056577946,0.49334893105145583,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.LT],-0.813720506590573,0.00016067800058793777,0.44320604394121316,0.44306649009797777,0.4433456417400976,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.LU],-0.8238618248423736,0.020421640922670507,0.43873406460845665,0.42152023079283896,0.45665086841930885,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.LV],-1.1671855704438687,1.3631803589739427e-05,0.31124167752261683,0.3112333619270934,0.31124999334031805,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.MT],-1.1399124269070877,0.010356978435748261,0.3198470305836058,0.31341981296894456,0.3264060494582924,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.NL],-1.1247035187127097,0.008082220880788074,0.32474873500986756,0.31964496594059466,0.3299339959263085,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.PL],-0.6592125211606726,0.006051770316935337,0.5172585042784438,0.5111594138107686,0.5234303683340211,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.PT],-0.7375673879428021,0.005181748834733347,0.4782759614149704,0.4734431537337369,0.48315810137590764,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.RO],-1.086863515746712,0.006529679209612597,0.3372726869458104,0.33298379567306635,0.34161681991075826,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.SE],-0.6949767847824088,0.018137466070430035,0.49908603424152836,0.4816557821115793,0.5171470556897273,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.SI],-0.4346378607687144,0.003683279410720175,0.6474991094548375,0.6428415836656396,0.652190380021953,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.SK],-0.4696552000803971,0.0027863519066857185,0.6252178061711442,0.6218127046800663,0.6286415542998306,0.0,< .001,***
detailed_explanation,Baseline (common N),public_sector,-0.028028392359125763,0.06788816709722154,0.9723607587934571,0.8512182205980127,1.1107438989935492,0.6797082856040895,0.680,
detailed_explanation,Adjusted (common N),Intercept,-1.296193737253624,0.2285499792685952,0.27357109732288454,0.17479464254482718,0.4281661279821759,1.416519657455072e-08,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.BE],-0.6267362649668821,0.024150010782328063,0.534332879189633,0.5096304537893858,0.5602326620400043,1.7351679337499105e-148,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.BG],-0.417686875012011,0.02261683343095408,0.6585684103683698,0.6300128556689513,0.6884182556475029,3.739203036521054e-76,< .001,***
detailed_explanation,Adjusted (common N),C(country_fe)[T.CY],-0.7485977285146814,0.022244626614249648,0.47302940352830347,0.4528490665109287,0.4941090379766579,2.8212221295695818e-248,< .001,***
