결과변수,결과변수 라벨,국가,부문,결과=0 N,결과=1 N,전체 N,결과=1 비율(%),희소·분리 경고
detailed_explanation,상세 설명 제공,NL,공공부문,86,19,105,18.1,
detailed_explanation,상세 설명 제공,PL,비공공부문,244,76,320,23.75,
detailed_explanation,상세 설명 제공,PL,공공부문,51,16,67,23.88,
detailed_explanation,상세 설명 제공,PT,비공공부문,173,51,224,22.77,
detailed_explanation,상세 설명 제공,PT,공공부문,33,11,44,25.0,
detailed_explanation,상세 설명 제공,RO,비공공부문,337,62,399,15.54,
detailed_explanation,상세 설명 제공,RO,공공부문,58,18,76,23.68,
detailed_explanation,상세 설명 제공,SE,비공공부문,117,35,152,23.03,
detailed_explanation,상세 설명 제공,SE,공공부문,121,38,159,23.9,
detailed_explanation,상세 설명 제공,SI,비공공부문,149,66,215,30.7,
detailed_explanation,상세 설명 제공,SI,공공부문,75,22,97,22.68,
detailed_explanation,상세 설명 제공,SK,비공공부문,202,83,285,29.12,
detailed_explanation,상세 설명 제공,SK,공공부문,89,27,116,23.28,
personal_data_access,개인정보 접근권 제공,AT,비공공부문,241,68,309,22.01,
personal_data_access,개인정보 접근권 제공,AT,공공부문,81,25,106,23.58,
personal_data_access,개인정보 접근권 제공,BE,비공공부문,187,18,205,8.78,
personal_data_access,개인정보 접근권 제공,BE,공공부문,101,14,115,12.17,
personal_data_access,개인정보 접근권 제공,BG,비공공부문,236,26,262,9.92,
personal_data_access,개인정보 접근권 제공,BG,공공부문,65,14,79,17.72,
personal_data_access,개인정보 접근권 제공,CY,비공공부문,127,13,140,9.29,
personal_data_access,개인정보 접근권 제공,CY,공공부문,55,7,62,11.29,
personal_data_access,개인정보 접근권 제공,CZ,비공공부문,292,33,325,10.15,
personal_data_access,개인정보 접근권 제공,CZ,공공부문,86,13,99,13.13,
personal_data_access,개인정보 접근권 제공,DE,비공공부문,401,115,516,22.29,
personal_data_access,개인정보 접근권 제공,DE,공공부문,89,12,101,11.88,
personal_data_access,개인정보 접근권 제공,DK,비공공부문,160,12,172,6.98,
personal_data_access,개인정보 접근권 제공,DK,공공부문,150,5,155,3.23,
personal_data_access,개인정보 접근권 제공,EE,비공공부문,233,35,268,13.06,
personal_data_access,개인정보 접근권 제공,EE,공공부문,57,12,69,17.39,
personal_data_access,개인정보 접근권 제공,ES,비공공부문,255,23,278,8.27,
personal_data_access,개인정보 접근권 제공,ES,공공부문,64,7,71,9.86,
personal_data_access,개인정보 접근권 제공,FI,비공공부문,133,31,164,18.9,
personal_data_access,개인정보 접근권 제공,FI,공공부문,106,13,119,10.92,
personal_data_access,개인정보 접근권 제공,FR,비공공부문,199,24,223,10.76,
personal_data_access,개인정보 접근권 제공,FR,공공부문,77,10,87,11.49,
personal_data_access,개인정보 접근권 제공,GR,비공공부문,229,4,233,1.72,
personal_data_access,개인정보 접근권 제공,GR,공공부문,41,4,45,8.89,
personal_data_access,개인정보 접근권 제공,HR,비공공부문,278,56,334,16.77,
personal_data_access,개인정보 접근권 제공,HR,공공부문,115,21,136,15.44,
personal_data_access,개인정보 접근권 제공,HU,비공공부문,341,61,402,15.17,
personal_data_access,개인정보 접근권 제공,HU,공공부문,63,11,74,14.86,
personal_data_access,개인정보 접근권 제공,IE,비공공부문,208,12,220,5.45,
personal_data_access,개인정보 접근권 제공,IE,공공부문,97,7,104,6.73,
personal_data_access,개인정보 접근권 제공,IT,비공공부문,228,41,269,15.24,
personal_data_access,개인정보 접근권 제공,IT,공공부문,77,10,87,11.49,
personal_data_access,개인정보 접근권 제공,LT,비공공부문,168,27,195,13.85,
personal_data_access,개인정보 접근권 제공,LT,공공부문,60,6,66,9.09,
personal_data_access,개인정보 접근권 제공,LU,비공공부문,89,6,95,6.32,
personal_data_access,개인정보 접근권 제공,LU,공공부문,97,17,114,14.91,
personal_data_access,개인정보 접근권 제공,LV,비공공부문,208,11,219,5.02,
personal_data_access,개인정보 접근권 제공,LV,공공부문,74,3,77,3.9,
personal_data_access,개인정보 접근권 제공,MT,비공공부문,78,10,88,11.36,
personal_data_access,개인정보 접근권 제공,MT,공공부문,56,6,62,9.68,
personal_data_access,개인정보 접근권 제공,NL,비공공부문,138,27,165,16.36,
personal_data_access,개인정보 접근권 제공,NL,공공부문,85,20,105,19.05,
personal_data_access,개인정보 접근권 제공,PL,비공공부문,272,48,320,15.0,
personal_data_access,개인정보 접근권 제공,PL,공공부문,54,13,67,19.4,
personal_data_access,개인정보 접근권 제공,PT,비공공부문,206,18,224,8.04,
personal_data_access,개인정보 접근권 제공,PT,공공부문,39,5,44,11.36,
personal_data_access,개인정보 접근권 제공,RO,비공공부문,292,107,399,26.82,
personal_data_access,개인정보 접근권 제공,RO,공공부문,58,18,76,23.68,
personal_data_access,개인정보 접근권 제공,SE,비공공부문,144,8,152,5.26,
personal_data_access,개인정보 접근권 제공,SE,공공부문,144,15,159,9.43,
personal_data_access,개인정보 접근권 제공,SI,비공공부문,203,12,215,5.58,
