Model,Added block,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
M3,직업 유형,C(country_fe)[T.FI],-0.9513738261657435,0.03869896577590864,0.3862100733172182,0.3579999596376374,0.41664312164355244,1.875245676787116e-133,< .001,***
M3,직업 유형,C(country_fe)[T.FR],-1.207329549487693,0.01722236236047481,0.29899466472262476,0.28907047587410756,0.30925956468666904,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.GR],-1.673674290122283,0.022817248724308254,0.18755666045612213,0.17935373036735558,0.19613476011567693,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.HR],-0.9148560449924021,0.016727126317704684,0.4005742866149318,0.38765457359037686,0.4139245865485767,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.HU],-0.320453823223198,0.019834260286676557,0.725819568543054,0.698145141276091,0.7545910082781615,1.0206858459806328e-58,< .001,***
M3,직업 유형,C(country_fe)[T.IE],-0.6172502236603835,0.018295793112480477,0.5394257001181685,0.5204250907095512,0.5591200177363701,1.642989687398352e-249,< .001,***
M3,직업 유형,C(country_fe)[T.IT],-0.6579696810274946,0.013911652840302645,0.517901773564429,0.5039712684598124,0.5322173382639364,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.LT],-0.8332966986241864,0.01968173003124763,0.43461413017768374,0.4181679300357565,0.45170714582046784,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.LU],-0.867354931934499,0.03228896053872865,0.4200611714777636,0.39430122485933133,0.4475040315845353,6.06315313313484e-159,< .001,***
M3,직업 유형,C(country_fe)[T.LV],-1.1285614928215246,0.013434384226344711,0.3234982764676504,0.3150914382693071,0.33212941440857424,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.MT],-1.221463809126098,0.02876295834075147,0.29479832245741777,0.27863901956831955,0.31189476283094353,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.NL],-1.2274371705746028,0.030990505862652028,0.2930426344229729,0.27577293643816825,0.3113938107875577,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.PL],-0.5827339345085906,0.022215285233680375,0.5583697316457596,0.534579355111285,0.5832188509286038,1.1709624202051455e-151,< .001,***
M3,직업 유형,C(country_fe)[T.PT],-0.6795088280745358,0.01131627753006279,0.5068658895298486,0.4957476140153819,0.5182335178337605,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.RO],-0.9746782050996925,0.02037750264036302,0.37731375167056685,0.36254112009722606,0.3926883305307234,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.SE],-0.7098667021044698,0.04375254563942254,0.4917097369658783,0.4513012890768828,0.5357362615152299,3.3801864170822056e-59,< .001,***
M3,직업 유형,C(country_fe)[T.SI],-0.438118133344376,0.015087486654158287,0.6452495528670941,0.6264482788227331,0.6646151000009357,2.149234246947529e-185,< .001,***
M3,직업 유형,C(country_fe)[T.SK],-0.45120579810688133,0.013603439073850867,0.6368597641568285,0.6201040150791357,0.654068268127777,3.06392606084998e-241,< .001,***
M3,직업 유형,C(gender)[T.2],0.02674565350383826,0.05132001587903564,1.0271065285910808,0.9288205446268882,1.1357929442637364,0.6022591979272991,0.602,
M3,직업 유형,C(gender)[T.3],0.6940233484761369,0.5453239492664587,2.0017531037268523,0.6874322828308087,5.828960303958107,0.20313131494438896,0.203,
M3,직업 유형,C(occupation_code)[T.11],0.17345651065348996,0.16450211527534397,1.1894089590264525,0.8616021044374083,1.6419338631213394,0.29168457646923296,0.292,
M3,직업 유형,C(occupation_code)[T.12],0.08431236258385133,0.11511068082328249,1.087968681446077,0.8682284340598634,1.363323067263082,0.46389636509487187,0.464,
M3,직업 유형,C(occupation_code)[T.13],-0.17584217141828185,0.1070296278912163,0.8387503516694658,0.6800313442671498,1.0345143034308166,0.10039744640657294,0.100,
M3,직업 유형,C(occupation_code)[T.14],-0.3575284428292904,0.15059339968092053,0.6994028056652132,0.520645400334192,0.9395344398671092,0.01759031339658549,0.018,*
M3,직업 유형,C(occupation_code)[T.15],-0.24073637324537966,0.1356476228622323,0.7860488225759851,0.6025402392902087,1.0254464535031642,0.07594434564686421,0.076,
M3,직업 유형,C(occupation_code)[T.16],-0.5138786288354606,0.22183619310151464,0.5981709903668178,0.38725589472690064,0.9239589082788583,0.02053219216889496,0.021,*
M3,직업 유형,C(occupation_code)[T.17],-0.6118805393576628,0.1330220371093198,0.542330036538907,0.41786413246610554,0.7038696209614245,4.228086678479849e-06,< .001,***
M3,직업 유형,C(occupation_code)[T.18],-1.2931811325821474,0.2055651913399741,0.274396501572744,0.18340077304660263,0.4105404727832233,3.157189685267193e-10,< .001,***
M3,직업 유형,public_sector,-0.18433003588956978,0.0763042233127319,0.8316612804573649,0.716137160480487,0.9658212470749586,0.015703907694499284,0.016,*
M3,직업 유형,age,-0.006150976071118045,0.002198024487192563,0.9938679024552419,0.9895954805078192,0.9981587699085874,0.005135470784359869,0.005,**
